rq,metric,column,treatment,n,median,q1,q3,iqr,min,max,n_outliers
RQ1,Tempo até verde (s),time_to_green_seconds,sem-ia,3,238.7074090719998,167.38780245450016,394.59736343750046,227.2095609830003,96.06819583700052,550.4873178030011,0
RQ1,Tempo até verde (s),time_to_green_seconds,com-ia,9,221.91150693300008,99.6175004380002,290.67050935199995,191.05300891399975,21.157897790000337,410.7690781229999,0
RQ2,Testes falhando (nº),failed,sem-ia,3,0.0,0.0,0.0,0.0,0.0,0.0,0
RQ2,Testes falhando (nº),failed,com-ia,9,0.0,0.0,0.0,0.0,0.0,0.0,0
RQ3,Complexidade ciclomática média/método,complexity_avg,sem-ia,0,,,,,,,0
RQ3,Complexidade ciclomática média/método,complexity_avg,com-ia,6,6.5,5.0,7.0,2.0,4.0,13.0,1
RQ3,Duplicação de linhas (%),duplication_percent,sem-ia,0,,,,,,,0
RQ3,Duplicação de linhas (%),duplication_percent,com-ia,6,0.0,0.0,0.0,0.0,0.0,0.0,0
RQ3,LOC (código do participante),loc_total,sem-ia,0,,,,,,,0
RQ3,LOC (código do participante),loc_total,com-ia,6,26.0,22.25,35.0,12.75,18.0,45.0,0
